ID_SPPG,Status_Pengajuan,Status_Operasional,Kota_Kabupaten,Provinsi,Alamat
SMOPXIDZ,Penentuan KA SPPG,Belum Beroperasi,KAB. MANGGARAI,NUSA TENGGARA TIMUR,"Jl. Golo Dukal, RT 007, RW 003, kel. Golo Dukal, kec. Langke Rembong, kab. Manggarai, provinsi NTT, GOLO DUKAL, LANGKE REMBONG, KAB. MANGGARAI, NUSA TENGGARA TIMUR"
CWI607GA,Penentuan KA SPPG,Belum Beroperasi,KOTA TANJUNG PINANG,KEPULAUAN RIAU,"Jalan Basuki Rahmat Gg Tempinis V No 1, TANJUNG PINANG TIMUR, BUKIT BESTARI, KOTA TANJUNG PINANG, KEPULAUAN RIAU"
BUE4DUHN,Penentuan KA SPPG,Belum Beroperasi,KAB. MALANG,JAWA TIMUR,"Jl Dipomanggolo gg 1 RT 1 RW 06 Tirtomoyo.Pakis
Kabupaten Malang, TIRTOMOYO, PAKIS, KAB. MALANG, JAWA TIMUR"
M4Z0HXYA,Penentuan KA SPPG,Belum Beroperasi,KOTA MALANG,JAWA TIMUR,"Jl. Kh malik dalam 48 rt 3 rw 4
Buring-kedungkandang
Malang, BURING, KEDUNGKANDANG, KOTA MALANG, JAWA TIMUR"
09MOUTOW,Penentuan KA SPPG,Belum Beroperasi,KAB. LAMONGAN,JAWA TIMUR,"Asem, Payaman, Kec. Solokuro, Kabupaten Lamongan, Jawa Timur 62265, Indonesia, PAYAMAN, SOLOKURO, KAB. LAMONGAN, JAWA TIMUR"
FMXF4FST,Penentuan KA SPPG,Belum Beroperasi,KAB. TIMOR TENGAH SELATAN,NUSA TENGGARA TIMUR,"47R9+JJX, Jl. Gajah Mada No.56, Karang Siri, Kec. Kota Soe, Kabupaten Timor Tengah Selatan, Nusa Tenggara Tim. 85511, KARANG SIRIH, KOTA SOE, KAB. TIMOR TENGAH SELATAN, NUSA TENGGARA TIMUR"
ZO5HEME8,Penentuan KA SPPG,Belum Beroperasi,KAB. MIMIKA,PAPUA TENGAH,"Jl.Raya Mapurujaya, Desa Kamp.Muare / Wania,Mimika Timur, Kab. Mimika/Timika, Papua Tengah, 99971., MUARE, MIMIKA TIMUR, KAB. MIMIKA, PAPUA TENGAH"
ORQGLF5A,Penentuan KA SPPG,Belum Beroperasi,KAB. KUDUS,JAWA TENGAH,"dukuh pecinan RT 03 RW 01 desa bulungcangkring, BULUNGCANGKRING, JEKULO, KAB. KUDUS, JAWA TENGAH"
WZIGNIYE,Penentuan KA SPPG,Belum Beroperasi,KAB. TANGERANG,BANTEN,"Kp. Kemuning RT 001 RW 01, Legok, Tangerang, Banten, KEMUNING, LEGOK, KAB. TANGERANG, BANTEN"
CHRWUJRU,Penentuan KA SPPG,Belum Beroperasi,KAB. BOYOLALI,JAWA TENGAH,"Jalan Perintis Kemerdekaan Ngestiharjo, Desa/Kelurahan Siswodipuran, Kec. Boyolali, Kab. Boyolali, SIWODIPURAN, BOYOLALI, KAB. BOYOLALI, JAWA TENGAH"
WWBWYTIQ,Penentuan KA SPPG,Belum Beroperasi,KOTA PEKANBARU,RIAU,"Jl. SIAK II RT/RW 001/009 DS SRI MERANTI, RUMBAI BUKIT, RUMBAI BARAT, KOTA PEKANBARU, RIAU"
W0SVWO3L,Penentuan KA SPPG,Belum Beroperasi,KAB. MAROS,SULAWESI SELATAN,"Jl. Pucak raya , PUCAK, TOMPOBULU, KAB. MAROS, SULAWESI SELATAN"
1V5R3XEV,Penentuan KA SPPG,Belum Beroperasi,KOTA PALEMBANG,SUMATERA SELATAN,"Jalan Bypass, Alang Alang Lebar, Alang-Alang Lebar, Palembang City, South Sumatra 30961, ALANG-ALANG LEBAR, ALANG-ALANG LEBAR, KOTA PALEMBANG, SUMATERA SELATAN"
SUZQSDQB,Penentuan KA SPPG,Belum Beroperasi,KAB. SAMPANG,JAWA TIMUR,"Dusun Minian Desa Asem Jaran, ASEM JARAN, BANYUATES, KAB. SAMPANG, JAWA TIMUR"
RNTTTNZK,Penentuan KA SPPG,Belum Beroperasi,KAB. KEPAHIANG,BENGKULU,"Jalan.Kampung Pensiunan Kelurahan Pensiunan Kecamatan Kepahiang, Kab. Kepahiang, Provinsi Bengkulu
, PENSIUNAN, KEPAHIANG, KAB. KEPAHIANG, BENGKULU"
31WPM3Q8,Penentuan KA SPPG,Belum Beroperasi,KAB. MOJOKERTO,JAWA TIMUR,"Pacet Utara, RT 004 / RW 004
Kel. Pacet, Kec. Pacet, Kab. Mojokerto
Provinsi - Jawa Timur 61374, PACET, PACET, KAB. MOJOKERTO, JAWA TIMUR"
OMR3TIC2,Penentuan KA SPPG,Belum Beroperasi,KAB. ROKAN HILIR,RIAU,"Jalan Lintas Bagan Siapiapi RT 011 RW 03 Simpang Empat Teluk Pulau Hulu, TELUKPULAU HULU, RIMBA MELINTANG, KAB. ROKAN HILIR, RIAU"
XI6WFMSE,Penentuan KA SPPG,Belum Beroperasi,KAB. LOMBOK TIMUR,NUSA TENGGARA BARAT,"Jalan jurusan labuhan Lombok Mataram km 66 dusun padamara desa Batuyang kecamatan Pringgabaya , BATUYANG, PRINGGABAYA, KAB. LOMBOK TIMUR, NUSA TENGGARA BARAT"
BOTIE83E,Penentuan KA SPPG,Belum Beroperasi,KAB. INDRAGIRI HULU,RIAU,"JL. Piere Tandean Desa/Kelurahan Tanjung Gading, Kec. Pasir Penyu, Kab. Indragiri Hulu, Provinsi Riau, TANJUNG GADING, PASIR PENYU, KAB. INDRAGIRI HULU, RIAU"
SOCSBWNR,Penentuan KA SPPG,Belum Beroperasi,KOTA BANJARMASIN,KALIMANTAN SELATAN,"Jl. Pramuka komp. Semanda No. 1c RT.020 RW.002, SUNGAI LULUT, BANJARMASIN TIMUR, KOTA BANJARMASIN, KALIMANTAN SELATAN"
Z2JDKT3P,Penentuan KA SPPG,Belum Beroperasi,KAB. GOWA,SULAWESI SELATAN,"BTN BAKOLU BLOK A11 NO. 1, PANGKABINANGA, PALLANGGA, KAB. GOWA, SULAWESI SELATAN"
AT9ENIQ6,Penentuan KA SPPG,Belum Beroperasi,KAB. MUNA BARAT,SULAWESI TENGGARA,"Jln Poros  Lagadi - Tondasi, Desa Ondoke_Kecamatan Sawerigadi, Kabupaten Muna Barat Propinsi Sulawesi Tenggara, ONDOKE, SAWERIGADI, KAB. MUNA BARAT, SULAWESI TENGGARA"
NYBIQUKS,Penentuan KA SPPG,Belum Beroperasi,KOTA TASIKMALAYA,JAWA BARAT,"Jalan Parakan Honje (Parhon) Kelurahan Sukamaju Kaler RT 06 RW 04 Kota Tasikmalaya, SUKAMAJU KALER, INDIHIANG, KOTA TASIKMALAYA, JAWA BARAT"
ESYNLCWR,Penentuan KA SPPG,Belum Beroperasi,KAB. BULUKUMBA,SULAWESI SELATAN,"Desa Bontobaji Kecamatan Kajang, BONTO BAJI, KAJANG, KAB. BULUKUMBA, SULAWESI SELATAN"
FAHIOL2C,Penentuan KA SPPG,Belum Beroperasi,KAB. INDRAMAYU,JAWA BARAT,"Blok Jati Rt 015 Rw 004, TERSANA, SUKAGUMIWANG, KAB. INDRAMAYU, JAWA BARAT"
YONGMYS5,Penentuan KA SPPG,Belum Beroperasi,KAB. PENAJAM PASER UTARA,KALIMANTAN TIMUR,"JL. Negara, Desa Bumi Harapan, Kecamatan Sepaku, Kabupaten Penajam Paser Utara, Propinsi Kalimantan Timur, BUMI HARAPAN, SEPAKU, KAB. PENAJAM PASER UTARA, KALIMANTAN TIMUR"
7RQZHU86,Penentuan KA SPPG,Belum Beroperasi,KAB. PROBOLINGGO,JAWA TIMUR,"Jalan Taman no 20, Desa Paiton , Paito, Kabupaten Probolinggo, Provinsi Jawa tImur, PAITON, PAITON, KAB. PROBOLINGGO, JAWA TIMUR"
FHM9ORIQ,Penentuan KA SPPG,Belum Beroperasi,KOTA BANDUNG,JAWA BARAT,"Jl. Bukit Indah IV, Pasanggrahan, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40617, PASANGGRAHAN, UJUNGBERUNG, KOTA BANDUNG, JAWA BARAT"
GLAUJBBA,Penentuan KA SPPG,Belum Beroperasi,KAB. MIMIKA,PAPUA TENGAH,"CV5C+VH7, Wonosari Jaya, Kec. Mimika Baru, Kabupaten Mimika, Papua 99971, TIMIKA JAYA, MIMIKA BARU, KAB. MIMIKA, PAPUA TENGAH"
XTQYEPJ5,Penentuan KA SPPG,Belum Beroperasi,KAB. TOBA,SUMATERA UTARA,"83MC+XCX Balige II, Toba, Sumatera Utara, BALIGE I, BALIGE, KAB. TOBA, SUMATERA UTARA"
JWLEDT6W,Penentuan KA SPPG,Belum Beroperasi,KOTA PADANG,SUMATERA BARAT,"Jl. Bunda V nomor 3, Kelurahan ulakkarang utara, Kec. Padang Utara, Kota Padang, Sumatera Barat 25132, ULAK KARANG UTARA, PADANG UTARA, KOTA PADANG, SUMATERA BARAT"
NZHVBTFH,Penentuan KA SPPG,Belum Beroperasi,KAB. MIMIKA,PAPUA TENGAH,"PONDOK INDAH AMOR BLOK C NO 31, KEC. KUALA KENCANA , KAB. MIMIKA   PROV. PAPUA TENGAH
, KARANG SENANG, KUALA KENCANA, KAB. MIMIKA, PAPUA TENGAH"
NHZRCLCQ,Penentuan KA SPPG,Belum Beroperasi,KAB. KENDAL,JAWA TENGAH,"DUSUN LIMBANGAN RTB003 RW 003 DESA KALIREJO KECAMATAN KANGKUNG KABUPATEN KENDAL, KALIREJO, KANGKUNG, KAB. KENDAL, JAWA TENGAH"
RTNXQKQ1,Penentuan KA SPPG,Belum Beroperasi,KAB. SINJAI,SULAWESI SELATAN,"Ammara, dusun Bainang,  desa Kaloling, kec. Sinjai Timur, SANGIASERI , SINJAI SELATAN, KAB. SINJAI, SULAWESI SELATAN"
PCL50Y4C,Penentuan KA SPPG,Belum Beroperasi,KAB. BANDUNG BARAT,JAWA BARAT,"Kp. Babakan RT.001 RW.009 , CIPATIK, CIHAMPELAS, KAB. BANDUNG BARAT, JAWA BARAT"
VNGW70GB,Penentuan KA SPPG,Belum Beroperasi,KAB. PAMEKASAN,JAWA TIMUR,"Desa Kelompang barat Kec. Pakong Kab. Pamekasan, KLOMPANG BARAT, PAKONG, KAB. PAMEKASAN, JAWA TIMUR"
UKCMWUHD,Penentuan KA SPPG,Belum Beroperasi,KOTA CIMAHI,JAWA BARAT,"Jl Rabcabentang No.256 Rt04 Rw13 Kelurahan Cibeureum Kecamatan Cimahi Selatan Kota Cimahi, CIBEUREUM, CIMAHI SELATAN, KOTA CIMAHI, JAWA BARAT"
AZ0NUCNE,Penentuan KA SPPG,Belum Beroperasi,KAB. BANGGAI KEPULAUAN,SULAWESI TENGAH,"Jl. Trans Peling Kelurahan Patukuki Kecamatan Peling Tengah Kabupaten Banggai Kepiulauan Provinsi Sulawesi tengah, PATUKUKI, PELING TENGAH, KAB. BANGGAI KEPULAUAN, SULAWESI TENGAH"
7QU1OXMP,Penentuan KA SPPG,Belum Beroperasi,KAB. SLEMAN,DAERAH ISTIMEWA YOGYAKARTA,"8FH4+PVM Argomulyo, Kabupaten Sleman, Daerah Istimewa Yogyakarta, ARGOMULYO, CANGKRINGAN, KAB. SLEMAN, DAERAH ISTIMEWA YOGYAKARTA"
VLT7MUQR,Penentuan KA SPPG,Belum Beroperasi,KOTA SEMARANG,JAWA TENGAH,"Jl. Jangli Perbalan Barat I, RT.12 RW6, , NGESREP, BANYUMANIK, KOTA SEMARANG, JAWA TENGAH"
EQMXOJCM,Penentuan KA SPPG,Belum Beroperasi,KOTA SORONG,PAPUA BARAT DAYA,"Jln. Selat Sagawin No 16, 
Kelurahan Remu Selatan, 
Distrik Sorong Manoi, 
Kota Sorong, Papua Barat Daya, REMU SELATAN, SORONG MANOI, KOTA SORONG, PAPUA BARAT DAYA"
SO0QFQPU,Penentuan KA SPPG,Belum Beroperasi,KAB. ENDE,NUSA TENGGARA TIMUR,"jalan sam ratu langi, PAUPIRE, ENDE TENGAH, KAB. ENDE, NUSA TENGGARA TIMUR"
MJW7VFSL,Penentuan KA SPPG,Belum Beroperasi,KOTA BANDAR LAMPUNG,LAMPUNG,"Jl Pagar alam 145 Gang Randu no 26, SEGALAMIDER, TANJUNGKARANG BARAT, KOTA BANDAR LAMPUNG, LAMPUNG"
WGWJQ6XQ,Penentuan KA SPPG,Belum Beroperasi,KAB. AGAM,SUMATERA BARAT,"JL. SITI MANGGOPOH, LUBUK BASUNG - MANGGOPOH JORONG SIKABU NAGARI KAMPUNG TANGAH KECAMATAN LUBUK BASUNG KABUPATEN AGAM , KAMPUNG TANGAH, LUBUK BASUNG, KAB. AGAM, SUMATERA BARAT"
PIJORMQA,Penentuan KA SPPG,Belum Beroperasi,KAB. MAROS,SULAWESI SELATAN,"MINASA BAJI, MINASA BAJI, BANTIMURUNG, KAB. MAROS, SULAWESI SELATAN"
L2QL8VEY,Penentuan KA SPPG,Belum Beroperasi,KAB. BANDUNG,JAWA BARAT,"Kp. Mekar mulya RT 01 RW 21, Margamukti, Pangalengan, Kabupaten Bandung, Jawa Barat, 40378., MARGAMUKTI, PANGALENGAN, KAB. BANDUNG, JAWA BARAT"
SOFRJ4KV,Penentuan KA SPPG,Belum Beroperasi,KAB. SOLOK SELATAN,SUMATERA BARAT,"jalan raya pulakek koto baru, PULAKEK KOTO BARU, SUNGAI PAGU, KAB. SOLOK SELATAN, SUMATERA BARAT"
EUIDRWDT,Penentuan KA SPPG,Belum Beroperasi,KOTA MAKASSAR,SULAWESI SELATAN,"Jl. KH. Abd. Jabbar Ashiry No.1, Pai, PAI, BIRINGKANAYA, KOTA MAKASSAR, SULAWESI SELATAN"
IHRL3IQ0,Penentuan KA SPPG,Belum Beroperasi,KAB. INDRAMAYU,JAWA BARAT,"BLOK BAKUNG RT 018 RW 003, TEGALMULYA, KRANGKENG, KAB. INDRAMAYU, JAWA BARAT"
75HKHQI0,Penentuan KA SPPG,Belum Beroperasi,KAB. BANDUNG BARAT,JAWA BARAT,"Kp. Babakan RT.004 RW.004, CIHAMPELAS, CIHAMPELAS, KAB. BANDUNG BARAT, JAWA BARAT"
XEOA5CU9,Penentuan KA SPPG,Belum Beroperasi,KAB. PAMEKASAN,JAWA TIMUR,"Dusun Banyumas Desa Klampar Kecamatan Proppo Kabupaten Pamekasan Provinsi Jawa Timur, KLAMPAR, PROPPO, KAB. PAMEKASAN, JAWA TIMUR"
TOGNAZ2T,Penentuan KA SPPG,Belum Beroperasi,KOTA BANDUNG,JAWA BARAT,"Jl. Citamiang no. 57, SUKAMAJU, CIBEUNYING KIDUL, KOTA BANDUNG, JAWA BARAT"
PY9XFW86,Penentuan KA SPPG,Belum Beroperasi,KAB. GROBOGAN,JAWA TENGAH,"Jl. Gg Pendowo III Jangkungharjo Brati Grobogan Jawa Tengah, JANGKUNGHARJO, BRATI, KAB. GROBOGAN, JAWA TENGAH"
XWLEHUCX,Penentuan KA SPPG,Belum Beroperasi,KAB. LAMPUNG SELATAN,LAMPUNG,"Jl Gemilang Gg Anumerta RT 2a Dusun 2B , FAJAR BARU, JATI AGUNG, KAB. LAMPUNG SELATAN, LAMPUNG"
U5D46ON3,Penentuan KA SPPG,Belum Beroperasi,KAB. TASIKMALAYA,JAWA BARAT,"Jl. Raya Cikalong, Kp Mangkabaya, RT 005/ RW 006 Desa Mandalajaya, Kec. Cikalong, Kab Tasikmalaya
, MANDALAJAYA, CIKALONG, KAB. TASIKMALAYA, JAWA BARAT"
DUMRHFQB,Penentuan KA SPPG,Belum Beroperasi,KAB. SUKOHARJO,JAWA TENGAH,"Jl. Waringinrejo, No.24, Ngruki, Kec. Grogol Kab. Sukoharjo, Jawa Tengah, CEMANI, GROGOL, KAB. SUKOHARJO, JAWA TENGAH"
U4GTWVAT,Penentuan KA SPPG,Belum Beroperasi,KAB. BANYUMAS,JAWA TENGAH,"Jl. Sunan Bonang, Desa Dukuh Waluh, Kecamatan Kembaran, Kabupaten Banyumas Jawa Tengah , DUKUHWALUH, KEMBARAN, KAB. BANYUMAS, JAWA TENGAH"
4EN9XH66,Penentuan KA SPPG,Belum Beroperasi,KAB. MIMIKA,PAPUA TENGAH,"Jl. Cendrawasih, Karang Senang, Kec. Kuala Kencana, Kabupaten Mimika, Papua 99910, KARANG SENANG, KUALA KENCANA, KAB. MIMIKA, PAPUA TENGAH"
RIHEH8O8,Penentuan KA SPPG,Belum Beroperasi,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA,"Jl. Komp. Eramas 2000 No.44 Blok A10, RT.4/RW.15, PULO GEBANG, CAKUNG, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA"
K0TCWDLJ,Penentuan KA SPPG,Belum Beroperasi,KAB. KOLAKA UTARA,SULAWESI TENGGARA,"Kelurahan lapai, kecamatan ngapa, Kabupaten Kolaka Utara , LAPAI, NGAPA, KAB. KOLAKA UTARA, SULAWESI TENGGARA"
IAFQH5QL,Penentuan KA SPPG,Belum Beroperasi,KOTA PONTIANAK,KALIMANTAN BARAT,"Jl. Kom Yos Sudarso, Gg. Srikaya 2, RT/RW. 003/007, SUNGAIJAWI LUAR, PONTIANAK BARAT, KOTA PONTIANAK, KALIMANTAN BARAT"
ERR8EQTR,Penentuan KA SPPG,Belum Beroperasi,KAB. MANDAILING NATAL,SUMATERA UTARA,"Jln. Prof Dr Andi Hakim Nst, DALAN LIDANG, PANYABUNGAN, KAB. MANDAILING NATAL, SUMATERA UTARA"
LC3ZWG3G,Penentuan KA SPPG,Belum Beroperasi,KAB. MANDAILING NATAL,SUMATERA UTARA,"Jln Maltatuli, Panggautan Kec. Natal Kab Mandailing Natal, PANGGAUTAN, NATAL, KAB. MANDAILING NATAL, SUMATERA UTARA"
TS0AKOMC,Penentuan KA SPPG,Belum Beroperasi,KAB. KENDAL,JAWA TENGAH,"PUCUKSARI RT 005 RW 001 DESA PUCUKSARI KECAMATAN WELERI KABUPATEN KENDAL, PUCUKSARI, WELERI, KAB. KENDAL, JAWA TENGAH"
KAGYSOSB,Penentuan KA SPPG,Belum Beroperasi,KAB. KOLAKA,SULAWESI TENGGARA,"Kelurahan wolo, kecamatan wolo, Kabupaten Kolaka , WOLO, WOLO, KAB. KOLAKA, SULAWESI TENGGARA"
54NWS0BT,Penentuan KA SPPG,Belum Beroperasi,KAB. SUBANG,JAWA BARAT,"Jalan Raya Sagalaherang No.19 RT.31 RW.06 Desa sagalaherang Kaler kec.Sagalaherang Kab.Subang Jawa Barat , SAGALAHERANG KALER, SAGALAHERANG, KAB. SUBANG, JAWA BARAT"
4OSYH0LJ,Penentuan KA SPPG,Belum Beroperasi,KAB. DEMAK,JAWA TENGAH,"Gabus 005 002 Desa Bakalrejo Kecamatan Guntur Kabupaten Demak 59565, BAKALREJO, GUNTUR, KAB. DEMAK, JAWA TENGAH"
QCNZGVQV,Penentuan KA SPPG,Belum Beroperasi,KAB. BANYUWANGI,JAWA TIMUR,"jL. KEPITING NOMER 28, TUKANGKAYU, BANYUWANGI, KAB. BANYUWANGI, JAWA TIMUR"
FPMSUETG,Penentuan KA SPPG,Belum Beroperasi,KAB. TULUNGAGUNG,JAWA TIMUR,"Jl. Raya Gunung Budeg Ds. Tanggung Kec. Campurdarat Kab. Tulungagung 66272, TANGGUNG, CAMPURDARAT, KAB. TULUNGAGUNG, JAWA TIMUR"
7MUSBEW5,Penentuan KA SPPG,Belum Beroperasi,KAB. SIDOARJO,JAWA TIMUR,"Jl. Pahlawan No.118, Dukuh Tengah Barat, Dukuhtengah, Kec. Buduran, Kabupaten Sidoarjo, Jawa Timur 61252, DUKUHTENGAH, BUDURAN, KAB. SIDOARJO, JAWA TIMUR"
FEIWHHEH,Penentuan KA SPPG,Belum Beroperasi,KAB. BOJONEGORO,JAWA TIMUR,"DESA KAUMAN , KAUMAN, BOJONEGORO, KAB. BOJONEGORO, JAWA TIMUR"
WMGWGI31,Penentuan KA SPPG,Belum Beroperasi,KAB. BOJONEGORO,JAWA TIMUR,"DESA TEMAYANG, TEMAYANG, TEMAYANG, KAB. BOJONEGORO, JAWA TIMUR"
3QILFIQC,Penentuan KA SPPG,Belum Beroperasi,KAB. MUARO JAMBI,JAMBI,"Jalur 3 Blok B, RT.10, MEKAR SARI MAKMUR, SUNGAI BAHAR, KAB. MUARO JAMBI, JAMBI"
FM3QYH3P,Penentuan KA SPPG,Belum Beroperasi,KOTA ADM. JAKARTA UTARA,DKI JAKARTA,"Jalan Sunter 2 No. 16, RAWA BADAK SELATAN, KOJA, KOTA ADM. JAKARTA UTARA, DKI JAKARTA"
TOEJHTKW,Penentuan KA SPPG,Belum Beroperasi,KAB. BANJAR,KALIMANTAN SELATAN,"JALAN GOTONG ROYONG, KAYU BAWANG, GAMBUT, KAB. BANJAR, KALIMANTAN SELATAN"
7NV8RNWD,Penentuan KA SPPG,Belum Beroperasi,KOTA TASIKMALAYA,JAWA BARAT,"Jalan Raya Cibeuti, Karsamenak, Kawalu, Kota Tasikmalaya 46182, KERSAMENAK, KAWALU, KOTA TASIKMALAYA, JAWA BARAT"
51CTHO6T,Penentuan KA SPPG,Belum Beroperasi,KOTA TASIKMALAYA,JAWA BARAT,"Leuwihieum, RT/RW 004/004 (Patokan Lapak Pasir Cor), SUKARINDIK, BUNGURSARI, KOTA TASIKMALAYA, JAWA BARAT"
M2UJRFU9,Penentuan KA SPPG,Belum Beroperasi,KAB. BADUNG,BALI,"Jl. Raya Puspa Resti, Abiansemal, Kec. Abiansemal,
Kabupaten Badung, Bali 80352, ABIANSEMAL, ABIANSEMAL, KAB. BADUNG, BALI"
VT7SARYU,Penentuan KA SPPG,Belum Beroperasi,KAB. BARITO TIMUR,KALIMANTAN TENGAH,"Jl. AMPAH BUNTOK No. 30 RT 30 / RW 006, AMPAH KOTA, DUSUN TENGAH, KAB. BARITO TIMUR, KALIMANTAN TENGAH"
KOO3CI4L,Penentuan KA SPPG,Belum Beroperasi,KAB. GOWA,SULAWESI SELATAN,"KOMP. CEMARA HIJAU, KEL. TOMBOLO KEC. SOMBA OPU KAB. GOWA, TOMBOLO, SOMBA OPU, KAB. GOWA, SULAWESI SELATAN"
EY4DREPZ,Penentuan KA SPPG,Belum Beroperasi,KAB. BOJONEGORO,JAWA TIMUR,"DUSUN DERU RT007 RW 001 KELURAHAN DERU, KEC. SUMBERREJO, KAB. BOJONEGORO , DERU, SUMBEREJO, KAB. BOJONEGORO, JAWA TIMUR"
RNF2TDYN,Penentuan KA SPPG,Belum Beroperasi,KAB. MALANG,JAWA TIMUR,"Dsn Tawangsari RT 002 RW 010 Desa Tirtomarto , TIRTOMARTO, AMPELGADING, KAB. MALANG, JAWA TIMUR"
0QDL5FSH,Penentuan KA SPPG,Belum Beroperasi,KAB. LAMPUNG TIMUR,LAMPUNG,"Dusun Muji Rahayu RT 019 RW 004, SUMBEREJO, BATANGHARI, KAB. LAMPUNG TIMUR, LAMPUNG"
R9O8UQV4,Penentuan KA SPPG,Belum Beroperasi,KOTA KENDARI,SULAWESI TENGGARA,"Jl. Laute I No.17E 1, MANDONGA, MANDONGA, KOTA KENDARI, SULAWESI TENGGARA"
ALBO3SQR,Penentuan KA SPPG,Belum Beroperasi,KAB. SUBANG,JAWA BARAT,"Jln.Raya kalijati-subang km.10 Kp.Dawuan oncom RT.15 RW.15 Desa Dawuan Kaler Kec.Dawuan Kab.Subang Jawa Barat, DAWUAN KALER, DAWUAN, KAB. SUBANG, JAWA BARAT"
TYKVTR69,Penentuan KA SPPG,Belum Beroperasi,KAB. KAMPAR,RIAU,"RT 001 RW 001 Dusun 2 Sungai Tonang Desa Sungai Tonang Kecamatan Kampar Utara Kabupaten Kampar, SUNGAI TONANG, KAMPAR UTARA, KAB. KAMPAR, RIAU"
4CATYMYC,Penentuan KA SPPG,Belum Beroperasi,KAB. SUBANG,JAWA BARAT,"Lahan TNI AU Lanud R. Suryadi Suryadarma, Desa Gembor, Kec. Pegaden, Kab. Subang, Jawa Barat, GEMBOR, PAGADEN, KAB. SUBANG, JAWA BARAT"
MTDUAIUT,Penentuan KA SPPG,Belum Beroperasi,KOTA ADM. JAKARTA TIMUR,DKI JAKARTA,"Jl. Melur Blok Z No. 6 RT. 014 RW. 009, , PONDOK BAMBU, DUREN SAWIT, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA"
SALC2LKB,Penentuan KA SPPG,Belum Beroperasi,KOTA BATAM,KEPULAUAN RIAU,"Jl. Hang Kesturi Blok A No. 1 (Belakang Cammo Industrial Park), Baloi Permai, Kec Batam Kota, Batam Kota, Kepulauan Riau, BALOI PERMAI, BATAM KOTA, KOTA BATAM, KEPULAUAN RIAU"
L1HI5GMI,Penentuan KA SPPG,Belum Beroperasi,KOTA MAKASSAR,SULAWESI SELATAN,"BTN Minasaupa Blok A No. 10, MINASA UPA, RAPPOCINI, KOTA MAKASSAR, SULAWESI SELATAN"
2RZM6ARC,Penentuan KA SPPG,Belum Beroperasi,KOTA BANDUNG,JAWA BARAT,"Jl. Hegarmanah No.15 No. 9, Hegarmanah, Cidadap, Bandung City, West Java 12630, HEGARMANAH, CIDADAP, KOTA BANDUNG, JAWA BARAT"
VQQZ3HDC,Penentuan KA SPPG,Belum Beroperasi,KAB. TANAH BUMBU,KALIMANTAN SELATAN,"JL PLAJAU KM.6 DESA SARI GADUNG RT.02 KECAMATAN SIMPANG EMPAT, KABUPATEN TANAH BUMBU, KALIMANTAN SELATAN, SARI GADUNG, SIMPANG EMPAT, KAB. TANAH BUMBU, KALIMANTAN SELATAN"
WIRV3MAE,Penentuan KA SPPG,Belum Beroperasi,KAB. SUKABUMI,JAWA BARAT,"Jl. Raya Sukabumi-Bogor Kp. Legos RT 01 RW 05 Desa Nyangkowek Kec. Cicurug Kab. Sukabumi, NYANGKOWEK, CICURUG, KAB. SUKABUMI, JAWA BARAT"
T4K8UNAW,Penentuan KA SPPG,Belum Beroperasi,KOTA JAYAPURA,PAPUA,"Jl. Perkutut Gereja Moria Kotaraja Dalam RT.008/RW.008 Kelurahan Vim Kecamatan Abepura Kota Jayapura Provinsi Papua, VIM, ABEPURA, KOTA JAYAPURA, PAPUA"
SVPLXKYG,Penentuan KA SPPG,Belum Beroperasi,KAB. PASAMAN BARAT,SUMATERA BARAT,"SUKAMENANTI JALAN JALUR 32 RIMBO JANDUANG, RT 000, RW 000, AUA KUNIANG, AUA KUNIANG, PASAMAN, KAB. PASAMAN BARAT, SUMATERA BARAT"
RHYGYNTG,Penentuan KA SPPG,Belum Beroperasi,KAB. BANDUNG BARAT,JAWA BARAT,"Jl. Gandrung No. 80 Rt. 004 Rw. 010 Desa Jambudipa Kec. Cisarua Kab. Bandung Barat, JAMBUDIPA, CISARUA, KAB. BANDUNG BARAT, JAWA BARAT"
ORA9THWE,Penentuan KA SPPG,Belum Beroperasi,KAB. TANGGAMUS,LAMPUNG,"Jln. Raya Gisting, Purwodadi, Gisting bawah, Kabupaten Tanggamus,
 Lampung, PURWODADI, GISTING, KAB. TANGGAMUS, LAMPUNG"
9JD2HY1X,Penentuan KA SPPG,Belum Beroperasi,KOTA MEDAN,SUMATERA UTARA,"JL. JAMIN GINTING KM 10,2 NO. 12B, SIMPANG SELAYANG, MEDAN TUNTUNGAN, KOTA MEDAN, SUMATERA UTARA"
WWPFVPKE,Penentuan KA SPPG,Belum Beroperasi,KAB. LAMONGAN,JAWA TIMUR,"Desa Payaman Kec. sulokuro kab. lamongan, PAYAMAN, SOLOKURO, KAB. LAMONGAN, JAWA TIMUR"
EQTVHWJV,Penentuan KA SPPG,Belum Beroperasi,KOTA PONTIANAK,KALIMANTAN BARAT,"Gg. Kencana Lestari 2 No.24A, Pal Lima, Kec. Pontianak Bar., Kota Pontianak, Kalimantan Barat 78244, PALLIMA, PONTIANAK BARAT, KOTA PONTIANAK, KALIMANTAN BARAT"
